bytes_08_0B	be32	byte_0C	byte_0D	byte_0E	byte_0F	file_size	path
59 87 06 69	0x59870669	1	1	1	1	16720	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xedd5e1e0\12\0.uifont
53 ef 4d c5	0x53EF4DC5	1	1	1	1	2272	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xedd5e1e0\14\1\0.uifont
53 ef 4d c5	0x53EF4DC5	1	1	1	1	2968	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xedd5e1e0\14\3\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	18520	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xf2ad932b\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xf7d18f27\12\0.uifont
5f 8e 00 db	0x5F8E00DB	1	1	1	2	26080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xf9325348\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	17008	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xf9c6629e\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xfb65901f\12\0.uifont
5f 8e 01 45	0x5F8E0145	1	1	1	5	20176	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xfcc2ac23\0\1\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26608	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xff04cac2\12\0.uifont
